,label,area,Min Threshold,Max Threshold,type,percent_raw,region,plate,notes,calculation,well,treatment,genotype,temperature,symbiotic_state,cohort
,A5-fl-Snap-746.czi,500.993,749,65535,Symbiont Area,37.233,Tentacle,H2-25,,37.23282658,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-fl-Snap-746.czi,2344.744,426,65535,Symbiont Area,1.034,Tentacle,H2-25,REMOVE,REMOVED,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-bf-Snap-747.czi,4283.85,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-fl-Snap-746.czi,1625.796,970,65535,Symbiont Area,37.952,Tentacle,H2-25,,37.95174901,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-bf-Snap-747.czi,1251.943,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-fl-Snap-746.czi,662.946,1161,65535,Symbiont Area,52.953,Tentacle,H2-25,,52.95336928,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-bf-Snap-747.czi,1369.785,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A5-H2-25,H2-25,H2,25,sym,W9-10
,A5-fl-Snap-746.czi,642.404,1440,65535,Symbiont Area,46.898,Tentacle,H2-25,,46.89816285,A5-H2-25,H2-25,H2,25,sym,W9-10
,A6-bf-Snap-749.czi,3007.906,0,65535,Tentacle Area,46.898,Tentacle,H2-25,,n/a,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-fl-Snap-748.czi,1446.761,726,65535,Symbiont Area,48.099,Tentacle,H2-25,,48.09861079,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-bf-Snap-749.czi,916.362,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-fl-Snap-748.czi,666.622,867,65535,Symbiont Area,72.747,Tentacle,H2-25,,72.74657832,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-bf-Snap-749.czi,4246.443,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-fl-Snap-748.czi,2667.135,1183,65535,Symbiont Area,62.809,Tentacle,H2-25,,62.80868482,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-bf-Snap-749.czi,9984.406,0,65535,Tentacle Area,0,Body column,H2-25,,n/a,A6-H2-25,H2-25,H2,25,sym,W9-10
,A6-fl-Snap-748.czi,4787.654,668,65535,Symbiont Area,47.951,Body column,H2-25,,47.95131528,A6-H2-25,H2-25,H2,25,sym,W9-10
,A7-bf-Snap-751.czi,6059.273,0,65535,Tentacle Area,47.951,Tentacle,H2-25,,n/a,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-fl-Snap-750.czi,1810.668,771,65535,Symbiont Area,29.883,Tentacle,H2-25,,29.88259483,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-bf-Snap-751.czi,4187.63,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-fl-Snap-750.czi,1916.835,786,65535,Symbiont Area,45.774,Tentacle,H2-25,,45.77374314,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-bf-Snap-751.czi,10320.852,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-fl-Snap-750.czi,4061.354,968,65535,Symbiont Area,39.351,Tentacle,H2-25,,39.35095668,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-bf-Snap-751.czi,6037.867,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-fl-Snap-750.czi,2871.684,1194,65535,Symbiont Area,47.561,Tentacle,H2-25,,47.56123313,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-bf-Snap-751.czi,2434.477,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A7-H2-25,H2-25,H2,25,sym,W9-10
,A7-fl-Snap-750.czi,1179.94,1149,65535,Symbiont Area,48.468,Tentacle,H2-25,,48.46790502,A7-H2-25,H2-25,H2,25,sym,W9-10
,A8-bf-Snap-753.czi,6899.524,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A8-H2-25,H2-25,H2,25,sym,W9-10
,A8-fl-Snap-752.czi,2251.767,915,65535,Symbiont Area,32.637,Tentacle,H2-25,,32.6365558,A8-H2-25,H2-25,H2,25,sym,W9-10
,A8-bf-Snap-753.czi,1352.055,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A8-H2-25,H2-25,H2,25,sym,W9-10
,A8-fl-Snap-752.czi,422.287,606,65535,Symbiont Area,31.233,Tentacle,H2-25,,31.23297499,A8-H2-25,H2-25,H2,25,sym,W9-10
,b1-bf-Snap-769.czi,4050.327,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B1-H2-25,H2-25,H2,25,sym,W9-10
,b1-fl-Snap-768.czi,1768.288,1279,65535,Symbiont Area,43.658,Tentacle,H2-25,,43.65790713,B1-H2-25,H2-25,H2,25,sym,W9-10
,b1-bf-Snap-769.czi,2259.767,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B1-H2-25,H2-25,H2,25,sym,W9-10
,b1-fl-Snap-768.czi,1060.367,1249,65535,Symbiont Area,46.924,Tentacle,H2-25,,46.92373152,B1-H2-25,H2-25,H2,25,sym,W9-10
,b1-bf-Snap-769.czi,4719.111,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B1-H2-25,H2-25,H2,25,sym,W9-10
,b1-fl-Snap-768.czi,2467.992,933,65535,Symbiont Area,52.298,Tentacle,H2-25,,52.29781626,B1-H2-25,H2-25,H2,25,sym,W9-10
,b2-bf-Snap-767.czi,5824.669,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-fl-Snap-766.czi,3198.184,953,65535,Symbiont Area,54.908,Tentacle,H2-25,,54.90756642,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-bf-Snap-767.czi,2219.982,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-fl-Snap-766.czi,1060.584,1668,65535,Symbiont Area,47.774,Tentacle,H2-25,,47.77444141,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-bf-Snap-767.czi,7114.884,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-fl-Snap-766.czi,3651.824,1179,65535,Symbiont Area,51.327,Tentacle,H2-25,,51.32654306,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-bf-Snap-767.czi,1870.562,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B2-H2-25,H2-25,H2,25,sym,W9-10
,b2-fl-Snap-766.czi,532.778,703,65535,Symbiont Area,28.482,Tentacle,H2-25,,28.48224224,B2-H2-25,H2-25,H2,25,sym,W9-10
,b3-bf-Snap-765.czi,698.839,0,65535,Tentacle Area,0,Tentacle,H2-25,"blurry image, tentacles not visibile, only 1 visibile ",REMOVED,B3-H2-25,H2-25,H2,25,sym,W9-10
,b3-fl-Snap-764.czi,161.52,1290,65535,Symbiont Area,23.113,Tentacle,H2-25,,REMOVED,B3-H2-25,H2-25,H2,25,sym,W9-10
,b4-bf-Snap-763.czi,2675.136,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-fl-Snap-762.czi,1368.056,1183,65535,Symbiont Area,51.14,Tentacle,H2-25,,51.13968038,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-bf-Snap-763.czi,3283.16,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-fl-Snap-762.czi,1638.337,1339,65535,Symbiont Area,49.901,Tentacle,H2-25,,49.90122321,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-bf-Snap-763.czi,8119.465,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-fl-Snap-762.czi,3036.448,1105,65535,Symbiont Area,37.397,Tentacle,H2-25,,37.39714378,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-bf-Snap-763.czi,6169.764,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B4-H2-25,H2-25,H2,25,sym,W9-10
,b4-fl-Snap-762.czi,2778.707,1292,65535,Symbiont Area,45.037,Tentacle,H2-25,,45.03749252,B4-H2-25,H2-25,H2,25,sym,W9-10
,b5-bf-Snap-761.czi,2647.026,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B5-H2-25,H2-25,H2,25,sym,W9-10
,b5-fl-Snap-760.czi,683.271,802,65535,Symbiont Area,25.813,Tentacle,H2-25,,25.81278008,B5-H2-25,H2-25,H2,25,sym,W9-10
,b5-bf-Snap-761.czi,7472.736,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B5-H2-25,H2-25,H2,25,sym,W9-10
,b5-fl-Snap-760.czi,1472.492,721,65535,Symbiont Area,19.705,Tentacle,H2-25,,19.70485777,B5-H2-25,H2-25,H2,25,sym,W9-10
,b5-bf-Snap-761.czi,4231.956,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B5-H2-25,H2-25,H2,25,sym,W9-10
,b5-fl-Snap-760.czi,1370.65,1020,65535,Symbiont Area,32.388,Tentacle,H2-25,,32.38809666,B5-H2-25,H2-25,H2,25,sym,W9-10
,b6-bf-Snap-759.czi,829.007,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-fl-Snap-758.czi,351.366,961,65535,Symbiont Area,42.384,Tentacle,H2-25,,42.38396057,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-bf-Snap-759.czi,2938.498,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-fl-Snap-758.czi,1503.629,1502,65535,Symbiont Area,51.17,Tentacle,H2-25,,51.16998548,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-bf-Snap-759.czi,3733.99,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-fl-Snap-758.czi,2136.735,947,65535,Symbiont Area,57.224,Tentacle,H2-25,,57.22390794,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-bf-Snap-759.czi,3833.237,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-fl-Snap-758.czi,2104.734,1340,65535,Symbiont Area,54.907,Tentacle,H2-25,,54.9074842,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-bf-Snap-759.czi,1645.688,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B6-H2-25,H2-25,H2,25,sym,W9-10
,b6-fl-Snap-758.czi,618.403,961,65535,Symbiont Area,37.577,Tentacle,H2-25,,37.57717137,B6-H2-25,H2-25,H2,25,sym,W9-10
,b7-bf-Snap-757.czi,1884.833,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-fl-Snap-756.czi,1127.397,1034,65535,Symbiont Area,59.814,Tentacle,H2-25,,59.8141586,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-bf-Snap-757.czi,1559.631,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-fl-Snap-756.czi,565.212,840,65535,Symbiont Area,36.24,Tentacle,H2-25,,36.24011064,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-bf-Snap-757.czi,5097.288,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-fl-Snap-756.czi,2300.85,801,65535,Symbiont Area,45.139,Tentacle,H2-25,,45.13870905,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-fl-Snap-756.czi,226728.346,0,65535,Tentacle Area,0,Tentacle,H2-25,REMOVED,REMOVED,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-fl-Snap-756.czi,1620.174,801,65535,Symbiont Area,0.715,Tentacle,H2-25,REMOVED,REMOVED,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-bf-Snap-757.czi,3259.808,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B7-H2-25,H2-25,H2,25,sym,W9-10
,b7-fl-Snap-756.czi,1526.765,917,65535,Symbiont Area,46.836,Tentacle,H2-25,,46.83604065,B7-H2-25,H2-25,H2,25,sym,W9-10
,B8-bf-Snap-755.czi,4444.289,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B8-H2-25,H2-25,H2,25,sym,W9-10
,B8-fl-Snap-754.czi,2144.52,1420,65535,Symbiont Area,48.253,Tentacle,H2-25,,48.25338766,B8-H2-25,H2-25,H2,25,sym,W9-10
,B8-bf-Snap-755.czi,7877.942,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,B8-H2-25,H2-25,H2,25,sym,W9-10
,B8-fl-Snap-754.czi,4391.53,1104,65535,Symbiont Area,55.745,Tentacle,H2-25,,55.74463483,B8-H2-25,H2-25,H2,25,sym,W9-10
,B8-bf-Snap-755.czi,4369.907,0,65535,Tentacle Area,0,Body column,H2-25,,n/a,B8-H2-25,H2-25,H2,25,sym,W9-10
,B8-fl-Snap-754.czi,1728.719,918,65535,Symbiont Area,39.56,Body column,H2-25,,39.55962907,B8-H2-25,H2-25,H2,25,sym,W9-10
,c1-bf-Snap-771.czi,1779.099,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-fl-Snap-770.czi,842.196,1134,65535,Symbiont Area,47.338,Tentacle,H2-25,,47.33834373,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-bf-Snap-771.czi,7087.855,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-fl-Snap-770.czi,3888.807,937,65535,Symbiont Area,54.866,Tentacle,H2-25,,54.86578097,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-bf-Snap-771.czi,3313.864,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-fl-Snap-770.czi,1211.509,1023,65535,Symbiont Area,36.559,Tentacle,H2-25,,36.55880265,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-bf-Snap-771.czi,20165.576,0,65535,Tentacle Area,0,Body column,H2-25,,n/a,C1-H2-25,H2-25,H2,25,sym,W9-10
,c1-fl-Snap-770.czi,9653.798,777,65535,Symbiont Area,47.873,Body column,H2-25,,47.87266181,C1-H2-25,H2-25,H2,25,sym,W9-10
,c2-bf-Snap-773.czi,4721.705,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-fl-Snap-772.czi,1651.743,708,65535,Symbiont Area,34.982,Tentacle,H2-25,,34.98191861,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-bf-Snap-773.czi,5752.666,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-fl-Snap-772.czi,2492.642,937,65535,Symbiont Area,43.33,Tentacle,H2-25,,43.33020551,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-bf-Snap-773.czi,299.472,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-fl-Snap-772.czi,158.925,1057,65535,Symbiont Area,53.069,Tentacle,H2-25,,53.06840038,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-bf-Snap-773.czi,4903.983,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C2-H2-25,H2-25,H2,25,sym,W9-10
,c2-fl-Snap-772.czi,1848.724,480,65535,Symbiont Area,37.698,Tentacle,H2-25,,37.6984178,C2-H2-25,H2-25,H2,25,sym,W9-10
,c3-bf-Snap-775.czi,2672.325,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C3-H2-25,H2-25,H2,25,sym,W9-10
,c3-fl-Snap-774.czi,1417.355,905,65535,Symbiont Area,53.038,Tentacle,H2-25,,53.03827192,C3-H2-25,H2-25,H2,25,sym,W9-10
,c3-bf-Snap-775.czi,1212.157,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C3-H2-25,H2-25,H2,25,sym,W9-10
,c3-fl-Snap-774.czi,656.675,758,65535,Symbiont Area,54.174,Tentacle,H2-25,,54.17408801,C3-H2-25,H2-25,H2,25,sym,W9-10
,c3-bf-Snap-775.czi,12005.028,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C3-H2-25,H2-25,H2,25,sym,W9-10
,c3-fl-Snap-774.czi,8293.959,826,65535,Symbiont Area,69.087,Tentacle,H2-25,,69.08737739,C3-H2-25,H2-25,H2,25,sym,W9-10
,c5-bf-Snap-779.czi,7258.241,0,65535,Tentacle Area,0,Tentacle,H2-25,Only 1 tentacle visible,n/a,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-fl-Snap-778.czi,3803.614,1079,65535,Symbiont Area,52.404,Tentacle,H2-25,,52.40407421,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-bf-Snap-779.czi,5495.142,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-fl-Snap-778.czi,2658.486,1491,65535,Symbiont Area,48.379,Tentacle,H2-25,,48.3788408,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-bf-Snap-779.czi,1479.628,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-fl-Snap-778.czi,597.43,781,65535,Symbiont Area,40.377,Tentacle,H2-25,,40.37704072,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-bf-Snap-779.czi,5139.236,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C5-H2-25,H2-25,H2,25,sym,W9-10
,c5-fl-Snap-778.czi,2359.88,809,65535,Symbiont Area,45.919,Tentacle,H2-25,,45.91888755,C5-H2-25,H2-25,H2,25,sym,W9-10
,c6-bf-Snap-781.czi,2867.143,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-fl-Snap-780.czi,1419.95,1096,65535,Symbiont Area,49.525,Tentacle,H2-25,,49.52491034,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-bf-Snap-781.czi,3061.097,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-fl-Snap-780.czi,1900.402,1068,65535,Symbiont Area,62.082,Tentacle,H2-25,,62.08238419,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-bf-Snap-781.czi,2924.011,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-fl-Snap-780.czi,1601.579,1110,65535,Symbiont Area,54.773,Tentacle,H2-25,,54.77335756,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-bf-Snap-781.czi,3060.232,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-fl-Snap-780.czi,1504.494,1124,65535,Symbiont Area,49.163,Tentacle,H2-25,,49.16274322,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-bf-Snap-781.czi,3658.527,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-fl-Snap-780.czi,2461.505,1124,65535,Symbiont Area,67.281,Tentacle,H2-25,,67.28131294,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-bf-Snap-781.czi,3283.593,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C6-H2-25,H2-25,H2,25,sym,W9-10
,c6-fl-Snap-780.czi,1126.1,1221,65535,Symbiont Area,34.295,Tentacle,H2-25,,34.29474968,C6-H2-25,H2-25,H2,25,sym,W9-10
,c7-bf-Snap-783.czi,2007.217,0,65535,Tentacle Area,34.295,Tentacle,H2-25,,n/a,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-fl-Snap-782.czi,1071.611,1222,65535,Symbiont Area,53.388,Tentacle,H2-25,,53.38789976,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-bf-Snap-783.czi,5047.773,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-fl-Snap-782.czi,2173.277,1508,65535,Symbiont Area,43.054,Tentacle,H2-25,,43.05417458,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-bf-Snap-783.czi,1575.415,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-fl-Snap-782.czi,914.632,1614,65535,Symbiont Area,58.057,Tentacle,H2-25,,58.05657557,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-bf-Snap-783.czi,4469.803,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-fl-Snap-782.czi,1702.556,950,65535,Symbiont Area,38.09,Tentacle,H2-25,,38.09017981,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-bf-Snap-783.czi,2446.802,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C7-H2-25,H2-25,H2,25,sym,W9-10
,c7-fl-Snap-782.czi,1302.756,1403,65535,Symbiont Area,53.243,Tentacle,H2-25,,53.24321298,C7-H2-25,H2-25,H2,25,sym,W9-10
,c8-bf-Snap-785.czi,2479.885,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,C8-H2-25,H2-25,H2,25,sym,W9-10
