lacerate_id,parent_id,tub_id,formation_date,cohort_week,initial_notes,removal_date,cohort,genotype,temp,treatment,observer
P3_H2_25_Tub1_Lacerate 9,P3_H2_25_Tub1,H2_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub1_Lacerate 10,P3_H2_25_Tub1,H2_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub1_Lacerate 11,P3_H2_25_Tub1,H2_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub2_Lacerate 8,P3_H2_25_Tub2,H2_25_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub2_Lacerate 9,P3_H2_25_Tub2,H2_25_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P1_H2_25_Tub2_Lacerate 10,P1_H2_25_Tub2,H2_25_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P1_H2_25_Tub2_Lacerate 11,P1_H2_25_Tub2,H2_25_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P1_H2_25_Tub2_Lacerate 12,P1_H2_25_Tub2,H2_25_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub3_Lacerate 5,P3_H2_25_Tub3,H2_25_Tub3,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P2_H2_25_Tub3_Lacerate 6,P2_H2_25_Tub3,H2_25_Tub3,2026-02-20,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P2_VWA_25_Tub1_Lacerate 10,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Aiden
P2_VWA_25_Tub1_Lacerate 11,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Aiden
P2_VWA_25_Tub1_Lacerate 12,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Aiden
P3_VWA_25_Tub1_Lacerate 13,P3_VWA_25_Tub1,VWA_25_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Aiden
P2_VWA_25_Tub2_Lacerate 12,P2_VWA_25_Tub2,VWA_25_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Aiden
P2_H2_32_Tub2_Lacerate 9,P2_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P2_H2_32_Tub2_Lacerate 10,P2_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P2_H2_32_Tub2_Lacerate 11,P2_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P1_H2_32_Tub2_Lacerate 12,P1_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P1_H2_32_Tub2_Lacerate 13,P1_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P1_H2_32_Tub2_Lacerate 14,P1_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P1_H2_32_Tub2_Lacerate 15,P1_H2_32_Tub2,H2_32_Tub2,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P2_H2_32_Tub3_Lacerate 3,P2_H2_32_Tub3,H2_32_Tub3,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P3_H2_32_Tub3_Lacerate 4,P3_H2_32_Tub3,H2_32_Tub3,2026-02-20,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P1_VWA_32_Tub1_Lacerate 7,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
P1_VWA_32_Tub1_Lacerate 8,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
P3_VWA_32_Tub1_Lacerate 9,P3_VWA_32_Tub1,VWA_32_Tub1,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
P1_VWA_32_Tub3_Lacerate 6,P1_VWA_32_Tub3,VWA_32_Tub3,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
P1_VWA_32_Tub3_Lacerate 7,P1_VWA_32_Tub3,VWA_32_Tub3,2026-02-20,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
PX_H2_25_Tub1_Lacerate 12,PX_H2_25_Tub1,H2_25_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
PX_H2_25_Tub1_Lacerate 13,PX_H2_25_Tub1,H2_25_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub3_Lacerate 7,P1_H2_25_Tub3,H2_25_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub3_Lacerate 8,P1_H2_25_Tub3,H2_25_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub3_Lacerate 9,P1_H2_25_Tub3,H2_25_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
PX_VWA_25_Tub2_Lacerate 13,PX_VWA_25_Tub2,VWA_25_Tub2,2026-02-23,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub3_Lacerate 3,P2_VWA_25_Tub3,VWA_25_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub3_Lacerate 4,P2_VWA_25_Tub3,VWA_25_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
PX_H2_32_Tub1_Lacerate 12,PX_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub1_Lacerate 13,PX_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub1_Lacerate 14,PX_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 15,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 16,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 17,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 18,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 19,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 20,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 21,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 22,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 23,P1_H2_32_Tub1,H2_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub2_Lacerate 16,PX_H2_32_Tub2,H2_32_Tub2,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub2_Lacerate 17,PX_H2_32_Tub2,H2_32_Tub2,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub2_Lacerate 18,PX_H2_32_Tub2,H2_32_Tub2,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub3_Lacerate 5,P2_H2_32_Tub3,H2_32_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub3_Lacerate 6,PX_H2_32_Tub3,H2_32_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub3_Lacerate 7,PX_H2_32_Tub3,H2_32_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub3_Lacerate 8,PX_H2_32_Tub3,H2_32_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub3_Lacerate 9,PX_H2_32_Tub3,H2_32_Tub3,2026-02-23,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_VWA_32_Tub1_Lacerate 10,P2_VWA_32_Tub1,VWA_32_Tub1,2026-02-23,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P3_VWA_32_Tub2_Lacerate 5,P3_VWA_32_Tub2,VWA_32_Tub2,2026-02-23,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P1_H2_25_Tub2_Lacerate 13,P1_H2_25_Tub2,H2_25_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Grady
P3_H2_25_Tub3_Lacerate 10,P3_H2_25_Tub3,H2_25_Tub3,2026-02-25,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Grady
P3_H2_25_Tub3_Lacerate 11,P3_H2_25_Tub3,H2_25_Tub3,2026-02-25,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Grady
P3_H2_25_Tub3_Lacerate 12,P3_H2_25_Tub3,H2_25_Tub3,2026-02-25,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Grady
P3_H2_25_Tub3_Lacerate 13,P3_H2_25_Tub3,H2_25_Tub3,2026-02-25,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Grady
P2_VWA_25_Tub1_Lacerate 14,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,25,VWA_25,Grady
P2_VWA_25_Tub1_Lacerate 15,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,25,VWA_25,Grady
P2_VWA_25_Tub1_Lacerate 16,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,25,VWA_25,Grady
P2_VWA_25_Tub1_Lacerate 17,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,25,VWA_25,Grady
P2_VWA_25_Tub1_Lacerate 18,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,25,VWA_25,Grady
P2_VWA_25_Tub1_Lacerate 19,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,25,VWA_25,Grady
P1_H2_32_Tub1_Lacerate 24,P1_H2_32_Tub1,H2_32_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 25,P1_H2_32_Tub1,H2_32_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 26,P1_H2_32_Tub1,H2_32_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 19,P1_H2_32_Tub2,H2_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 20,P1_H2_32_Tub2,H2_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 21,P1_H2_32_Tub2,H2_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 22,P1_H2_32_Tub2,H2_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 23,P1_H2_32_Tub2,H2_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_H2_32_Tub3_Lacerate 10,P1_H2_32_Tub3,H2_32_Tub3,2026-02-25,W3-4,,2026-03-09,W3-4,H2,32,H2_32,Grady
P1_VWA_32_Tub1_Lacerate 11,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,32,VWA_32,Grady
P3_VWA_32_Tub1_Lacerate 12,P3_VWA_32_Tub1,VWA_32_Tub1,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,32,VWA_32,Grady
P1_VWA_32_Tub2_Lacerate 6,P1_VWA_32_Tub2,VWA_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,32,VWA_32,Grady
PX_VWA_32_Tub2_Lacerate 7,PX_VWA_32_Tub2,VWA_32_Tub2,2026-02-25,W3-4,,2026-03-09,W3-4,VWA,32,VWA_32,Grady
P2_H2_25_Tub1_Lacerate 1,P2_H2_25_Tub1,H2_25_Tub1,2026-02-27,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Aiden
DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED,DUPLICATE_REMOVED
P1_H2_25_Tub1_Lacerate 3,P1_H2_25_Tub1,H2_25_Tub1,2026-02-27,W3-4,,2026-03-09,W3-4,H2,25,H2_25,Aiden
