,Label,Area,Mean,Min,Max,MinThr,MaxThr,Type,%,Region,notes,,plate,well,sym,temp,treatment,day,,calculation
9,Snap-9356.czi,85.238,161.419,67,658,0,65535,Tentacle Area,0,Pedal disc,,,1,A5,Sym,Control,Sym-Control,0,,0
10,Snap-9355.czi,20.396,928.009,573,3318,573,65535,Symbiont Area,23.928,Pedal disc,,,1,A5,Sym,Control,Sym-Control,0,,23.92829489
11,Snap-9358.czi,128.116,131.461,51,1319,0,65535,Tentacle Area,0,Pedal disc,,,1,A6,Sym,Control,Sym-Control,0,,0
12,Snap-9357.czi,31.295,814.69,497,3016,497,65535,Symbiont Area,24.427,Pedal disc,,,1,A6,Sym,Control,Sym-Control,0,,24.42708171
13,Snap-9360.czi,61.925,267.824,157,1384,0,65535,Tentacle Area,0,Pedal disc,,,1,B1,Sym,Control,Sym-Control,0,,0
14,Snap-9359.czi,16.399,700.097,429,2669,429,65535,Symbiont Area,26.482,Pedal disc,,,1,B1,Sym,Control,Sym-Control,0,,26.48203472
15,Snap-9362.czi,18.874,342.217,197,993,0,65535,Tentacle Area,0,Pedal disc,,,1,B2,Sym,Control,Sym-Control,0,,0
16,Snap-9361.czi,4.206,1142.78,688,2941,688,65535,Symbiont Area,22.285,Pedal disc,,,1,B2,Sym,Control,Sym-Control,0,,22.28462435
17,Snap-9364.czi,69.394,118.148,56,406,0,65535,Tentacle Area,0,Pedal disc,,,1,B3,Sym,Control,Sym-Control,0,,0
18,Snap-9363.czi,24.246,719.182,457,2358,457,65535,Symbiont Area,34.939,Pedal disc,,,1,B3,Sym,Control,Sym-Control,0,,34.93962014
19,Snap-9366.czi,63.509,209.698,137,979,0,65535,Tentacle Area,0,Pedal disc,,,1,B4,Sym,Control,Sym-Control,0,,0
20,Snap-9365.czi,22.316,729.557,465,2043,465,65535,Symbiont Area,35.139,Pedal disc,,,1,B4,Sym,Control,Sym-Control,0,,35.13832685
21,Snap-9368.czi,27.283,166.481,87,696,0,65535,Tentacle Area,0,Pedal disc,,,1,B5,Sym,Control,Sym-Control,0,,0
22,Snap-9367.czi,9.316,871.791,547,2206,547,65535,Symbiont Area,34.148,Pedal disc,,,1,B5,Sym,Control,Sym-Control,0,,34.14580508
23,Snap-9370.czi,44.413,114.896,59,535,0,65535,Tentacle Area,0,Pedal disc,,,1,B6,Sym,Control,Sym-Control,0,,0
24,Snap-9369.czi,11.891,769.929,470,2503,470,65535,Symbiont Area,26.773,Pedal disc,,,1,B6,Sym,Control,Sym-Control,0,,26.77369239
27,Snap-9372.czi,77.07,164.659,87,865,0,65535,Tentacle Area,0,Pedal disc,,,1,C1,Sym,Control,Sym-Control,0,,0
28,Snap-9371.czi,30.911,906.209,582,2392,582,65535,Symbiont Area,40.107,Pedal disc,,,1,C1,Sym,Control,Sym-Control,0,,40.1076943
29,Snap-9374.czi,51.658,216.647,144,1090,0,65535,Tentacle Area,0,Pedal disc,,,1,C2,Sym,Control,Sym-Control,0,,0
30,Snap-9373.czi,20.568,912.647,578,2199,578,65535,Symbiont Area,39.816,Pedal disc,,,1,C2,Sym,Control,Sym-Control,0,,39.81571102
33,Snap-9376.czi,58.915,188.588,97,797,0,65535,Tentacle Area,0,Pedal disc,,,1,C3,Sym,Control,Sym-Control,0,,0
34,Snap-9375.czi,16.792,1088.198,658,2780,658,65535,Symbiont Area,28.502,Pedal disc,,,1,C3,Sym,Control,Sym-Control,0,,28.50207927
35,Snap-9378.czi,54.748,192.968,119,636,0,65535,Tentacle Area,0,Pedal disc,,,1,C4,Sym,Control,Sym-Control,0,,0
36,Snap-9377.czi,17.052,909.856,593,2364,593,65535,Symbiont Area,31.146,Pedal disc,,,1,C4,Sym,Control,Sym-Control,0,,31.14634325
37,Snap-9380.czi,156.087,137.708,72,1089,0,65535,Tentacle Area,0,Pedal disc,,,1,C5,Sym,Control,Sym-Control,0,,0
38,Snap-9379.czi,30.263,443.951,271,2562,271,65535,Symbiont Area,19.388,Pedal disc,,,1,C5,Sym,Control,Sym-Control,0,,19.38854613
39,Snap-9382.czi,87.93,206.504,120,967,0,65535,Tentacle Area,0,Pedal disc,,,1,C6,Sym,Control,Sym-Control,0,,0
40,Snap-9381.czi,31.636,691.828,434,1626,434,65535,Symbiont Area,35.979,Pedal disc,,,1,C6,Sym,Control,Sym-Control,0,,35.97861936
41,Snap-9384.czi,116.583,164.238,93,649,0,65535,Tentacle Area,0,Pedal disc,,,1,D1,Sym,Control,Sym-Control,0,,0
42,Snap-9383.czi,23.472,690.092,421,2450,421,65535,Symbiont Area,20.133,Pedal disc,,,1,D1,Sym,Control,Sym-Control,0,,20.13329559
43,Snap-9388.czi,20.06,244.009,150,936,0,65535,Tentacle Area,0,Pedal disc,,,1,D3,Sym,Control,Sym-Control,0,,0
44,Snap-9387.czi,6.971,1377.012,859,2807,859,65535,Symbiont Area,34.75,Pedal disc,,,1,D3,Sym,Control,Sym-Control,0,,34.75074776
45,Snap-9390.czi,64.603,222.915,139,1629,0,65535,Tentacle Area,0,Pedal disc,,,1,D4,Sym,Control,Sym-Control,0,,0
46,Snap-9389.czi,10.923,762.388,453,2819,453,65535,Symbiont Area,16.908,Pedal disc,,,1,D4,Sym,Control,Sym-Control,0,,16.90788353
47,Snap-9392.czi,66.83,204.341,130,901,0,65535,Tentacle Area,0,Pedal disc,,,1,D5,Sym,Control,Sym-Control,0,,0
48,Snap-9391.czi,18.764,693.301,430,2130,430,65535,Symbiont Area,28.077,Pedal disc,,,1,D5,Sym,Control,Sym-Control,0,,28.07721083
49,Snap-9394.czi,77.934,153.807,67,1172,0,65535,Tentacle Area,0,Pedal disc,,,1,D6,Sym,Control,Sym-Control,0,,0
50,Snap-9393.czi,24.634,743.723,457,2840,457,65535,Symbiont Area,31.608,Pedal disc,,,1,D6,Sym,Control,Sym-Control,0,,31.60879719
51,Snap-9546.czi,111.742,385.539,223,4095,0,65535,Tentacle Area,0,Pedal disc,,,2,A1,Sym,Control,Sym-Control,0,,0
52,Snap-9545.czi,17.598,777.467,453,3293,453,65535,Symbiont Area,15.749,Pedal disc,,,2,A1,Sym,Control,Sym-Control,0,,15.74877844
53,Snap-9548.czi,76.031,162.38,79,347,0,65535,Tentacle Area,0,Pedal disc,,,2,A2,Sym,Control,Sym-Control,0,,0
54,Snap-9547.czi,23.071,744.58,466,2463,466,65535,Symbiont Area,30.344,Pedal disc,,,2,A2,Sym,Control,Sym-Control,0,,30.34420171
55,Snap-9550.czi,87.271,279.996,161,2626,0,65535,Tentacle Area,0,Pedal disc,,,2,A3,Sym,Control,Sym-Control,0,,0
56,Snap-9549.czi,16.457,921.644,546,2625,546,65535,Symbiont Area,18.857,Pedal disc,,,2,A3,Sym,Control,Sym-Control,0,,18.85735239
57,Snap-9552.czi,50.53,438.335,318,2048,0,65535,Tentacle Area,0,Pedal disc,,,2,A4,Sym,Control,Sym-Control,0,,0
58,Snap-9551.czi,16.845,1063.148,680,2626,680,65535,Symbiont Area,33.335,Pedal disc,,,2,A4,Sym,Control,Sym-Control,0,,33.3366317
59,Snap-9554.czi,56.943,214.624,125,786,0,65535,Tentacle Area,0,Pedal disc,,,2,A5,Sym,Control,Sym-Control,0,,0
60,Snap-9553.czi,14.605,761.327,475,2472,475,65535,Symbiont Area,25.649,Pedal disc,,,2,A5,Sym,Control,Sym-Control,0,,25.64845547
61,Snap-9556.czi,25.744,616.563,446,2116,0,65535,Tentacle Area,0,Pedal disc,,,2,A6,Sym,Control,Sym-Control,0,,0
62,Snap-9555.czi,7.679,1306.675,818,2939,818,65535,Symbiont Area,29.828,Pedal disc,,,2,A6,Sym,Control,Sym-Control,0,,29.82830951
63,Snap-9558.czi,67.249,327.056,181,3765,0,65535,Tentacle Area,0,Pedal disc,,,2,B1,Sym,Control,Sym-Control,0,,0
64,Snap-9557.czi,21.457,752.472,472,2244,472,65535,Symbiont Area,31.907,Pedal disc,,,2,B1,Sym,Control,Sym-Control,0,,31.90679415
65,Snap-9560.czi,80.94,246.463,109,867,0,65535,Tentacle Area,0,Pedal disc,,,2,B2,Sym,Control,Sym-Control,0,,0
66,Snap-9559.czi,29.699,682.847,433,1904,433,65535,Symbiont Area,36.692,Pedal disc,,,2,B2,Sym,Control,Sym-Control,0,,36.69261181
67,Snap-9562.czi,45.09,467.154,314,2502,0,65535,Tentacle Area,0,Pedal disc,,,2,B3,Sym,Control,Sym-Control,0,,0
68,Snap-9561.czi,15.796,731.974,461,1946,461,65535,Symbiont Area,35.033,Pedal disc,,,2,B3,Sym,Control,Sym-Control,0,,35.03215791
69,Snap-9564.czi,55.474,547.149,355,3859,0,65535,Tentacle Area,0,Pedal disc,,,2,B4,Sym,Control,Sym-Control,0,,0
70,Snap-9563.czi,17.971,786.994,498,2237,498,65535,Symbiont Area,32.395,Pedal disc,,,2,B4,Sym,Control,Sym-Control,0,,32.39535638
71,Snap-9566.czi,54.519,372.048,210,2770,0,65535,Tentacle Area,0,Pedal disc,,,2,B5,Sym,Control,Sym-Control,0,,0
72,Snap-9565.czi,19.445,857.248,542,2880,542,65535,Symbiont Area,35.667,Pedal disc,,,2,B5,Sym,Control,Sym-Control,0,,35.6664649
73,Snap-9568.czi,81.338,411.409,227,1714,0,65535,Tentacle Area,0,Pedal disc,,,2,B6,Sym,Control,Sym-Control,0,,0
74,Snap-9567.czi,25.997,609.07,387,1737,387,65535,Symbiont Area,31.961,Pedal disc,,,2,B6,Sym,Control,Sym-Control,0,,31.96169072
75,Snap-9570.czi,83.246,400.908,239,2935,0,65535,Tentacle Area,0,Pedal disc,,,2,C1,Sym,Control,Sym-Control,0,,0
76,Snap-9569.czi,15.055,788.873,465,2079,465,65535,Symbiont Area,18.084,Pedal disc,,,2,C1,Sym,Control,Sym-Control,0,,18.08495303
79,Snap-9572.czi,103.805,394.668,229,4095,0,65535,Tentacle Area,0,Pedal disc,,,2,C2,Sym,Control,Sym-Control,0,,0
80,Snap-9571.czi,23.452,718.072,431,2619,431,65535,Symbiont Area,22.592,Pedal disc,,,2,C2,Sym,Control,Sym-Control,0,,22.59236068
81,Snap-9574.czi,107.995,402.672,248,1837,0,65535,Tentacle Area,0,Pedal disc,,,2,C3,Sym,Control,Sym-Control,0,,0
82,Snap-9573.czi,26.63,510.297,315,1864,315,65535,Symbiont Area,24.658,Pedal disc,,,2,C3,Sym,Control,Sym-Control,0,,24.65854901
83,Snap-9576.czi,57.132,320.051,159,1807,0,65535,Tentacle Area,0,Pedal disc,,,2,C4,Sym,Control,Sym-Control,0,,0
84,Snap-9575.czi,14.629,800.97,481,2808,481,65535,Symbiont Area,25.605,Pedal disc,,,2,C4,Sym,Control,Sym-Control,0,,25.60561507
85,Snap-9578.czi,72.385,334.615,199,1079,0,65535,Tentacle Area,0,Pedal disc,,,2,C5,Sym,Control,Sym-Control,0,,0
86,Snap-9577.czi,24.937,730.905,461,1677,461,65535,Symbiont Area,34.451,Pedal disc,,,2,C5,Sym,Control,Sym-Control,0,,34.4505077
87,Snap-9580.czi,90.945,303.55,189,983,0,65535,Tentacle Area,0,Pedal disc,,,2,C6,Sym,Control,Sym-Control,0,,0
88,Snap-9579.czi,25.407,583.398,368,2156,368,65535,Symbiont Area,27.937,Pedal disc,,,2,C6,Sym,Control,Sym-Control,0,,27.93666502
89,Snap-9582.czi,138.86,371.526,196,2162,0,65535,Tentacle Area,0,Pedal disc,,,2,D1,Sym,Control,Sym-Control,0,,0
90,Snap-9581.czi,23.715,681.351,406,2995,406,65535,Symbiont Area,17.078,Pedal disc,,,2,D1,Sym,Control,Sym-Control,0,,17.0783523
91,Snap-9584.czi,161.127,210.262,84,1098,0,65535,Tentacle Area,0,Pedal disc,,,2,D2,Sym,Control,Sym-Control,0,,0
92,Snap-9583.czi,19.325,921.632,525,3532,525,65535,Symbiont Area,11.993,Pedal disc,,,2,D2,Sym,Control,Sym-Control,0,,11.99364476
93,Snap-9586.czi,164.02,350.907,201,3670,0,65535,Tentacle Area,0,Pedal disc,,,2,D3,Sym,Control,Sym-Control,0,,0
94,Snap-9585.czi,25.493,516.724,308,2070,308,65535,Symbiont Area,15.543,Pedal disc,,,2,D3,Sym,Control,Sym-Control,0,,15.54261675
95,Snap-9588.czi,73.844,463.512,300,2081,0,65535,Tentacle Area,0,Pedal disc,,,2,D4,Sym,Control,Sym-Control,0,,0
96,Snap-9587.czi,21.702,644.504,398,2314,398,65535,Symbiont Area,29.39,Pedal disc,,,2,D4,Sym,Control,Sym-Control,0,,29.38898218
97,Snap-9590.czi,86.334,454.71,289,1546,0,65535,Tentacle Area,0,Pedal disc,,,2,D5,Sym,Control,Sym-Control,0,,0
98,Snap-9589.czi,14.981,611.164,372,2791,372,65535,Symbiont Area,17.352,Pedal disc,,,2,D5,Sym,Control,Sym-Control,0,,17.35237566
99,Snap-9592.czi,83.063,273.751,130,1775,0,65535,Tentacle Area,0,Pedal disc,,,2,D6,Sym,Control,Sym-Control,0,,0
100,Snap-9591.czi,19.065,600.132,367,3600,367,65535,Symbiont Area,22.953,Pedal disc,,,2,D6,Sym,Control,Sym-Control,0,,22.95245777
101,Snap-9643.czi,72.985,216.22,117,639,0,65535,Tentacle Area,0,Pedal disc,,,3,A1,Sym,HS,Sym-HS,0,,0
102,Snap-9642.czi,16.069,935.387,547,2031,547,65535,Symbiont Area,22.017,Pedal disc,,,3,A1,Sym,HS,Sym-HS,0,,22.01685278
153,Snap-9645.czi,160.671,392.795,209,3142,0,65535,Tentacle Area,0,Pedal disc,,,3,A2,Sym,HS,Sym-HS,0,,0
154,Snap-9644.czi,32.25,620.65,371,1982,371,65535,Symbiont Area,20.072,Pedal disc,,,3,A2,Sym,HS,Sym-HS,0,,20.07207274
105,Snap-9647.czi,90.506,156.348,92,519,0,65535,Tentacle Area,0,Pedal disc,,,3,A3,Sym,HS,Sym-HS,0,,0
106,Snap-9646.czi,19.292,944.223,556,2443,556,65535,Symbiont Area,21.316,Pedal disc,,,3,A3,Sym,HS,Sym-HS,0,,21.31571388
107,Snap-9649.czi,108.057,431.587,253,2535,0,65535,Tentacle Area,0,Pedal disc,,,3,A4,Sym,HS,Sym-HS,0,,0
108,Snap-9648.czi,30.602,666.604,407,2250,407,65535,Symbiont Area,28.32,Pedal disc,,,3,A4,Sym,HS,Sym-HS,0,,28.32023839
109,Snap-9651.czi,147.832,258.954,112,1766,0,65535,Tentacle Area,0,Pedal disc,,,3,A5,Sym,HS,Sym-HS,0,,0
110,Snap-9650.czi,31.086,799.61,483,2669,483,65535,Symbiont Area,21.028,Pedal disc,,,3,A5,Sym,HS,Sym-HS,0,,21.02792359
111,Snap-9655.czi,28.149,208.506,109,712,0,65535,Tentacle Area,0,Pedal disc,,,3,B1,Sym,HS,Sym-HS,0,,0
112,Snap-9654.czi,7.846,869.274,532,2350,532,65535,Symbiont Area,27.874,Pedal disc,,,3,B1,Sym,HS,Sym-HS,0,,27.87310384
113,Snap-9657.czi,30.2,525.85,351,2231,0,65535,Tentacle Area,0,Pedal disc,,,3,B2,Sym,HS,Sym-HS,0,,0
114,Snap-9656.czi,8.706,768.594,478,2891,478,65535,Symbiont Area,28.828,Pedal disc,,,3,B2,Sym,HS,Sym-HS,0,,28.82781457
115,Snap-9659.czi,142.068,219.785,92,1224,0,65535,Tentacle Area,0,Pedal disc,,,3,B3,Sym,HS,Sym-HS,0,,0
116,Snap-9658.czi,32.469,774.321,471,2931,471,65535,Symbiont Area,22.855,Pedal disc,,,3,B3,Sym,HS,Sym-HS,0,,22.85454853
117,Snap-9661.czi,81.267,474.859,309,2671,0,65535,Tentacle Area,0,Pedal disc,,,3,B4,Sym,HS,Sym-HS,0,,0
118,Snap-9660.czi,26.995,865.254,551,2755,551,65535,Symbiont Area,33.218,Pedal disc,,,3,B4,Sym,HS,Sym-HS,0,,33.21766523
119,Snap-9663.czi,35.143,554.33,395,1541,0,65535,Tentacle Area,0,Pedal disc,,,3,B5,Sym,HS,Sym-HS,0,,0
120,Snap-9662.czi,10.794,878.826,577,2492,577,65535,Symbiont Area,30.714,Pedal disc,,,3,B5,Sym,HS,Sym-HS,0,,30.71450929
121,Snap-9665.czi,32.433,185.062,97,796,0,65535,Tentacle Area,0,Pedal disc,,,3,B6,Sym,HS,Sym-HS,0,,0
122,Snap-9664.czi,5.8,1014.129,608,2839,608,65535,Symbiont Area,17.883,Pedal disc,,,3,B6,Sym,HS,Sym-HS,0,,17.88302038
123,Snap-9667.czi,23.147,545.547,356,3457,0,65535,Tentacle Area,0,Pedal disc,,,3,C1,Sym,HS,Sym-HS,0,,0
124,Snap-9666.czi,8.702,1183.336,750,3018,750,65535,Symbiont Area,37.595,Pedal disc,,,3,C1,Sym,HS,Sym-HS,0,,37.59450469
125,Snap-9669.czi,19.974,293.371,163,1225,0,65535,Tentacle Area,0,Pedal disc,,,3,C2,Sym,HS,Sym-HS,0,,0
126,Snap-9668.czi,8.721,1199.678,768,2440,768,65535,Symbiont Area,43.66,Pedal disc,,,3,C2,Sym,HS,Sym-HS,0,,43.66176029
131,Snap-9671.czi,34.018,558.672,405,1420,0,65535,Tentacle Area,0,Pedal disc,,,3,C3,Sym,HS,Sym-HS,0,,0
132,Snap-9670.czi,9.009,619.902,382,2345,382,65535,Symbiont Area,26.483,Pedal disc,,,3,C3,Sym,HS,Sym-HS,0,,26.48303839
133,Snap-9673.czi,96.308,681.362,173,2456,0,65535,Tentacle Area,0,Pedal disc,,,3,C4,Sym,HS,Sym-HS,0,,0
134,Snap-9672.czi,22.063,1065.56,653,2484,653,65535,Symbiont Area,22.908,Pedal disc,,,3,C4,Sym,HS,Sym-HS,0,,22.90879262
135,Snap-9675.czi,21.282,612.008,399,3840,0,65535,Tentacle Area,0,Pedal disc,,,3,C5,Sym,HS,Sym-HS,0,,0
136,Snap-9674.czi,11.013,1329.634,861,2569,861,65535,Symbiont Area,51.748,Pedal disc,,,3,C5,Sym,HS,Sym-HS,0,,51.74795602
137,Snap-9677.czi,45.814,251.382,139,1302,0,65535,Tentacle Area,0,Pedal disc,,,3,C6,Sym,HS,Sym-HS,0,,0
138,Snap-9676.czi,11.443,779.898,479,3325,479,65535,Symbiont Area,24.976,Pedal disc,,,3,C6,Sym,HS,Sym-HS,0,,24.97708124
139,Snap-9679.czi,10.966,675.908,494,3306,0,65535,Tentacle Area,0,Pedal disc,,,3,D1,Sym,HS,Sym-HS,0,,0
140,Snap-9678.czi,4.325,1532.95,958,3492,958,65535,Symbiont Area,39.439,Pedal disc,,,3,D1,Sym,HS,Sym-HS,0,,39.44008754
141,Snap-9681.czi,119.352,367.493,212,2409,0,65535,Tentacle Area,0,Pedal disc,,,3,D2,Sym,HS,Sym-HS,0,,0
142,Snap-9680.czi,36.719,642.665,403,1902,403,65535,Symbiont Area,30.765,Pedal disc,,,3,D2,Sym,HS,Sym-HS,0,,30.76529928
143,Snap-9683.czi,52.569,566.162,370,3796,0,65535,Tentacle Area,0,Pedal disc,,,3,D3,Sym,HS,Sym-HS,0,,0
144,Snap-9682.czi,17.961,850.08,531,2789,531,65535,Symbiont Area,34.167,Pedal disc,,,3,D3,Sym,HS,Sym-HS,0,,34.166524
145,Snap-9685.czi,27.996,227.887,137,667,0,65535,Tentacle Area,0,Pedal disc,,,3,D4,Sym,HS,Sym-HS,0,,0
146,Snap-9684.czi,6.699,1157.41,696,3026,696,65535,Symbiont Area,23.927,Pedal disc,,,3,D4,Sym,HS,Sym-HS,0,,23.92841835
147,Snap-9687.czi,64.897,464.814,293,2869,0,65535,Tentacle Area,0,Pedal disc,,,3,D5,Sym,HS,Sym-HS,0,,0
148,Snap-9686.czi,19.472,496.04,314,1866,314,65535,Symbiont Area,30.005,Pedal disc,,,3,D5,Sym,HS,Sym-HS,0,,30.00446862
149,Snap-9689.czi,52.628,400.055,254,1382,0,65535,Tentacle Area,0,Pedal disc,,,3,D6,Sym,HS,Sym-HS,0,,0
150,Snap-9688.czi,11.736,808.674,492,2871,492,65535,Symbiont Area,22.3,Pedal disc,,,3,D6,Sym,HS,Sym-HS,0,,22.29991639
167,Snap-9497.czi,60.81,506.905,331,2326,0,65535,Tentacle Area,0,Pedal disc,,,4,A1,Sym,HS,Sym-HS,0,,0
168,Snap-9496.czi,11.79,1024.204,614,3402,614,65535,Symbiont Area,19.387,Pedal disc,,,4,A1,Sym,HS,Sym-HS,0,,19.38825851
169,Snap-9499.czi,33.29,296.309,161,1803,0,65535,Tentacle Area,0,Pedal disc,,,4,A2,Sym,HS,Sym-HS,0,,0
170,Snap-9498.czi,14.143,1169.445,730,2459,730,65535,Symbiont Area,42.484,Pedal disc,,,4,A2,Sym,HS,Sym-HS,0,,42.4842295
171,Snap-9501.czi,35.284,438.505,170,2263,0,65535,Tentacle Area,0,Pedal disc,,,4,A3,Sym,HS,Sym-HS,0,,0
172,Snap-9500.czi,8.819,954.849,589,2460,589,65535,Symbiont Area,24.996,Pedal disc,,,4,A3,Sym,HS,Sym-HS,0,,24.99433171
173,Snap-9503.czi,25.513,358.819,175,2499,0,65535,Tentacle Area,0,Pedal disc,,,4,A4,Sym,HS,Sym-HS,0,,0
174,Snap-9502.czi,8.245,1066.266,642,2474,642,65535,Symbiont Area,32.317,Pedal disc,,,4,A4,Sym,HS,Sym-HS,0,,32.31685807
175,Snap-9505.czi,55.138,439.704,258,3981,0,65535,Tentacle Area,0,Pedal disc,,,4,A5,Sym,HS,Sym-HS,0,,0
176,Snap-9504.czi,16.452,762.348,470,1865,470,65535,Symbiont Area,29.837,Pedal disc,,,4,A5,Sym,HS,Sym-HS,0,,29.83786137
177,Snap-9507.czi,65.774,510.264,321,2494,0,65535,Tentacle Area,0,Pedal disc,,,4,A6,Sym,HS,Sym-HS,0,,0
178,Snap-9506.czi,11.757,1015.94,605,2859,605,65535,Symbiont Area,17.875,Pedal disc,,,4,A6,Sym,HS,Sym-HS,0,,17.87484416
179,Snap-9509.czi,32.752,253.354,141,1063,0,65535,Tentacle Area,0,Pedal disc,,,4,B1,Sym,HS,Sym-HS,0,,0
180,Snap-9508.czi,8.551,853.378,523,2695,523,65535,Symbiont Area,26.107,Pedal disc,,,4,B1,Sym,HS,Sym-HS,0,,26.10832926
181,Snap-9511.czi,44.777,496.263,322,2775,0,65535,Tentacle Area,0,Pedal disc,,,4,B2,Sym,HS,Sym-HS,0,,0
182,Snap-9510.czi,15.397,934.482,587,2715,587,65535,Symbiont Area,34.386,Pedal disc,,,4,B2,Sym,HS,Sym-HS,0,,34.38595708
183,Snap-9513.czi,83.162,397.308,187,2139,0,65535,Tentacle Area,0,Pedal disc,,,4,B3,Sym,HS,Sym-HS,0,,0
184,Snap-9512.czi,16.611,837.691,501,3091,501,65535,Symbiont Area,19.975,Pedal disc,,,4,B3,Sym,HS,Sym-HS,0,,19.97426709
185,Snap-9515.czi,104.938,393.851,238,1569,0,65535,Tentacle Area,0,Pedal disc,,,4,B4,Sym,HS,Sym-HS,0,,0
186,Snap-9514.czi,34.107,857.018,521,2311,521,65535,Symbiont Area,32.502,Pedal disc,,,4,B4,Sym,HS,Sym-HS,0,,32.50204883
187,Snap-9517.czi,24.133,460.259,280,3377,0,65535,Tentacle Area,0,Pedal disc,,,4,B5,Sym,HS,Sym-HS,0,,0
188,Snap-9516.czi,5.812,961.41,587,2541,587,65535,Symbiont Area,24.084,Pedal disc,,,4,B5,Sym,HS,Sym-HS,0,,24.08320557
189,Snap-9519.czi,59.382,292.363,145,1406,0,65535,Tentacle Area,0,Pedal disc,,,4,B6,Sym,HS,Sym-HS,0,,0
190,Snap-9518.czi,17.368,679.626,413,2535,413,65535,Symbiont Area,29.248,Pedal disc,,,4,B6,Sym,HS,Sym-HS,0,,29.24792025
191,Snap-9521.czi,76.792,549.061,334,4095,0,65535,Tentacle Area,0,Pedal disc,,,4,C1,Sym,HS,Sym-HS,0,,0
192,Snap-9520.czi,17.897,734.359,446,2774,446,65535,Symbiont Area,23.306,Pedal disc,,,4,C1,Sym,HS,Sym-HS,0,,23.30581311
193,Snap-9523.czi,97.915,294.528,127,2033,0,65535,Tentacle Area,0,Pedal disc,,,4,C2,Sym,HS,Sym-HS,0,,0
194,Snap-9522.czi,23.522,628.163,373,2376,373,65535,Symbiont Area,24.023,Pedal disc,,,4,C2,Sym,HS,Sym-HS,0,,24.02287699
195,Snap-9525.czi,42.936,515.846,325,4095,0,65535,Tentacle Area,0,Pedal disc,,,4,C3,Sym,HS,Sym-HS,0,,0
196,Snap-9524.czi,12.53,983.887,606,2586,606,65535,Symbiont Area,29.182,Pedal disc,,,4,C3,Sym,HS,Sym-HS,0,,29.18297
197,Snap-9527.czi,35.381,553.255,360,2766,0,65535,Tentacle Area,0,Pedal disc,,,4,C4,Sym,HS,Sym-HS,0,,0
198,Snap-9526.czi,13.188,1114.921,705,3045,705,65535,Symbiont Area,37.275,Pedal disc,,,4,C4,Sym,HS,Sym-HS,0,,37.27424324
199,Snap-9529.czi,79.53,411.045,246,3041,0,65535,Tentacle Area,0,Pedal disc,,,4,C5,Sym,HS,Sym-HS,0,,0
200,Snap-9528.czi,12.4,913.679,540,2543,540,65535,Symbiont Area,15.592,Pedal disc,,,4,C5,Sym,HS,Sym-HS,0,,15.59160065
201,Snap-9531.czi,137.316,255.889,105,2345,0,65535,Tentacle Area,0,Pedal disc,,,4,C6,Sym,HS,Sym-HS,0,,0
202,Snap-9530.czi,18.631,731.328,422,2786,422,65535,Symbiont Area,13.568,Pedal disc,,,4,C6,Sym,HS,Sym-HS,0,,13.5679746
